id,caption_type,caption_character_length,caption,word_count,hashtag_count,duration_sec,post_date,post_time,post_url,media_type,views,reach,likes,shares,comments,saves,follows,engagment_raw,engagement_rate,engagement_per_reach,save_rate,share_rate,readability_flesch,readability_fk_grade,positive,negative,sentiment_score,cta_present,cta_count,day_of_week
23,Athlete Content,110,"Warning: Loud paint may cause faster lap times.
 @trekfactoryracingdh’s 2026 Session, dressed accordingly 😈🏁",14,0,0,2026-01-07,9:04,https://www.instagram.com/p/DTN5kaoCfhh/,carousel,195933,76906,6119,280,18,0,0,6417,0.0834,0.0834,0.0000,0.0036,47.8325,10.5625,1,2,-1,0,0,Wednesday
24,Event Content,195,"Want to run Wraparound Handguards with ODI Lock On grips? No problem! Check out @dirtbiketv1 with the full install process 👊 using the brand new Nomad D3O grips 🤩
 
 #odigrips #odi #grips #moto",34,4,81,2026-01-05,1:58,https://www.instagram.com/reel/DTH-5-XjY_j/,reel,58482,36592,1102,22,15,19,1,1158,0.0316,0.0316,0.0005,0.0006,72.61545455,5.863636364,0,1,-1,1,1,Monday
26,Athlete Content,163,"We are stoked to continue our support of @slr_honda into 2026 starting with their SX riders @justinbellrod and @mattijorgensen4 
 
 #odigrips #odi #grips #sx #moto",26,5,0,2026-01-02,4:20,https://www.instagram.com/p/DTAhFHhCMPA/,carousel,10240,4578,280,2,0,2,0,284,0.0620,0.0620,0.0004,0.0004,30.9,14.91166667,1,0,1,0,0,Friday
25,Athlete Content,423,"The want for pitcarts is high and these new grips that @odigrips gave us are killer! Perfect for each cart we send out! Thank you for the amazing partnership and helping us get a grip on 2026💪🏼😤🏍️💨
 
 @procircuit78 @dcmxtools @waltersmbsprinter @worksconnection @tld_moto @xbrandgoggles @repracing @throttle_syndicate @arcaudio @starracingyamaha @ktmfactoryracing @betausaracing 
 
 #custombuild #motocross #supercross",55,3,57,2026-01-02,14:43,https://www.instagram.com/reel/DTBne_bkszb/,reel,25820,9669,213,10,1,0,0,224,0.0232,0.0232,0.0000,0.0010,29.26333333,13.815,4,1,3,0,0,Friday
27,Other,125,"Wishing you all a very Happy New Year! We hope that 2026 is a peaceful and fun-filled year 🤞
 
 #hny #happynewyear #odigrips",23,3,0,2025-12-31,7:22,https://www.instagram.com/p/DS7sXu3CFlB/,image,4474,2888,88,5,5,1,0,99,0.0343,0.0343,0.0003,0.0017,77.45815217,5.312391304,3,0,3,0,0,Wednesday
28,Athlete Content,348,"Huge news! @odigrips and handlebars are teaming up with me for 2026! I've put in 8 seasons with ODI Flight bars in the (McGrath bend) and I’ve been running there grips even longer - (rogue or half waffle softs) lock on so no more glue!!! Stoked for an awesome year ahead with this partnership! Go check them out, Great pricing and quality products!",63,0,0,2025-12-29,10:49,https://www.instagram.com/p/DS26cBYEQrg/,carousel,15995,7218,488,5,8,0,0,501,0.0694,0.0694,0.0000,0.0007,80.99416129,5.042774194,2,1,1,0,0,Monday
29,Other,112,"A season full of style🤘 Check out our favorites from the 2025 #ODIStyleCheck!
 
 #usabmx #bmx #odigrips #odibmx",18,5,0,2025-12-22,10:07,https://www.instagram.com/p/DSk0IYlFcY-/,carousel,26032,10157,668,35,48,0,0,751,0.0739,0.0739,0.0000,0.0034,56.7,7.586666667,0,0,0,1,1,Monday
31,Community/Brand,316,"NOMAD grips with D3O GRIP material offer twice the vibration damping of other grips! What does this mean? Less arm pump and hand pain/fatigue = Longer and more comfortable rides 🤩 
 
 Plus they use the V2 Lock-On System which is the most secure way to fit grips onto handlebars 🤩
 
 #odigrips #grips #odi #moto #mx",58,5,89,2025-12-20,8:47,https://www.instagram.com/reel/DSfg5fCiECH/,reel,20369,15577,111,21,1,7,2,140,0.0090,0.0090,0.0004,0.0013,68.81315789,8.381403509,2,3,-1,0,0,Saturday
30,Athlete Content,242,"The good people at @odigrips are giving away some swag!! 🔥 
 
 We have 2 sets of your favourite grips and a signed number board for 2 lucky winners! 
 
 Like and comment with your favourite ODI grip to win!
 
 Competition closes January 4th!",47,0,20,2025-12-20,9:04,https://www.instagram.com/reel/DSfhVnRjJ2z/,reel,13104,9265,744,11,124,0,0,879,0.0949,0.0949,0.0000,0.0012,69.2775,6.205,5,0,5,1,2,Saturday
33,Community/Brand,214,"Wishing you all a peaceful and happy festive holiday 🎄🫶 Thanks for all the fun, support and love you’ve shown to ODI Grips throughout 2025 and the previous 44 years! 🙌 
 
 #odigrips #odi #grips #festive #holiday",38,5,15,2025-12-19,8:52,https://www.instagram.com/reel/DSc9El8CFXA/,reel,2871,2418,65,3,0,1,0,69,0.0285,0.0285,0.0004,0.0012,60.01425676,9.484459459,7,0,7,0,0,Friday
